CATID;BREEDGROUP;SEX;AGE_BEHAVIOUR;OTHER_CATS;problematic_behavior;seeks_physical_contact_people;Opens_doors;Rests _in_secure_places;Reacts_to_video_TV;Refuses_litter_box_dirty;Freezes_examined_veterinarian;Seems_confident;comfortable_social_gatherings;easily_scared_things_sounds ;Defecates_inappropriate_places;Unexpectedly_scratches _bites;greets_unfamiliar_children;Enjoys_tearing_cardboard;Runs_ hides_noise_inside;Runs_hide_noise_outside;Asks_in_out_ rooms;Freezes_nothing visible;Tries_wake_up;exhibits_bursts_running;Talks_to_people;increased_activity_morning;destroys_left_alone;Reacts_catnip;Chases_animals;purrs_petted;scratch_bite_human_possession_prey;comfortable_familiar_children;Growls_hisses_familiar_cat_staring;scratch_bite_familiar_dogs;Growls_hisses_examined_veterinarian;Growls_hisses_unfamiliar_dogs;lie_things_used_people;excited_new_toys;Runs_while_playing;Greets_unfamiliar_cats;Growls_hisses_familiar_dogs;restlessness_home_modified;eats_house_plants;eye_contact_familiar_people;Scratches_inappropriate_objects;scratch_bite_petted_base_tail;hallway_household_leave;not_want_use_same_litter_box;wrong_targeted_aggression;Enjoys_jumping_high;restlessness_member_household_affection_person;Gets_excite_small_animals_window;scratch_bite_petted_belly;Carries_toy;listens_everything_you_say;playing_chases_household_members;Growls_hisses_nails_clipped;Growls_hisses_medicine_familiar;Chases_imaginary_objects;scratch_bite_bathed;Growls_ hisses_bathed;increased_activity_evening;Runs_unfamiliar_cats;scratch_bite_brushed;Reacts_similarly_situations;Stares_unfamiliar_people;self_mutilation;investigates_new_objects;Growls_hisses_approached_familiar_cat_while_eating;scratch_bite_unfamiliar_dogs;restlessness_other_cats_fight;excessive_ grooming;restlessness_unfamiliar_objects;Plays_fetch;Gets_along _with_cats;Seeks_company_other_cats;baby_cry_check;Growls_hisses_brushed;Chase_tail;scratch_bite_examined_veterinarian;Rests_warm_appliances;scratch_bite_nails_clipped;greets_kittens;Moves_elegantly;scratch_bite _medicine_familiar_person;Hides_household_member_leave;Urinates_inappropriate;Escapes_unfamiliar_people;Is_persevering;Stalks_moving_objects;meowing _left_alone;Sprays_indoors;adapts_changes;Squirms_picked_ held_arms;Brings_prey_animals;Enjoys_playing_cats;Runs_unfamiliar_dogs;waiting_household_member_arrives;sudden_licking_chewing_body;Comes_called;Escapes_threatened_familiar_cat;Chews_cables;Reacts_different_events_vocalizing;scratch_bite_familiar_cat_hissing;Growls_hisses_petted_tail;Chews_plastics;Growls_hisses_unfamiliar_person_pet;Growls_hisses_unfamiliar_children;Chase_shadows;escape_home;comfortable_petted_unfamiliar_people;greets_unfamiliar_adults;Active;Prefers_types_cat_litter;restlessness_member_household_affection_another_pet;Seeks_physical_contact_other_cats;Growls_hisses_approached_familiar_cat_resting;Friendly_unfamiliar_dogs;Growls_hisses_approached_human_possession_of_prey;finds_new_ways_get_attention;learns_associate_things;Concentration_not_disturbed;Sucks_chews_fabrics;Growls_hisses_unfamiliar_adults;Purrs_sitting_lap;Chases_bite_moving_legs;not_recognize_familiar_cat_if_smells_odd;Kneads_objects;Squirms_picked_to_lap;substrate_preference_inappro;interactive_play_people;Repeats_meaningless_movements;comfortable_playing _unfamiliar_people;Walks_tail_upright;not_approach_people_right_away;Rests_elevated_places;comfortable_unfamiliar_places;responds_commands;Picky;Asks_food;restlessness_household_member_leave;exited_other_pets;Human_oriented;fearfulness;human_aggression;activity_playfulness;cat_sociability;human_sociability;litterbox_issues;excessive_grooming
1;Siberian_and_Neva_Masquerade;Female;5,079872204;unknown;unknown;5;5;3;5;4;5;5;3;2;1;1;4;3;4;2;5;3;5;4;5;4;1;5;5;5;1;5;1;;1;;5;4;4;5;;2;4;5;4;1;5;1;2;5;1;5;1;5;4;4;1;1;3;4;1;4;1;1;4;4;1;5;1;;2;1;1;5;5;4;;1;1;1;5;4;;5;1;1;1;2;4;5;4;1;5;1;;2;;5;1;4;;1;1;2;1;1;1;1;5;2;4;4;2;2;1;5;1;;1;3;5;;1;1;5;1;2;5;1;;;1;5;5;1;3;2;;3;5;4;;5;-0,592535855;-0,376838532;0,677554498;0,247060591;1,318159592;-0,370579892;-0,329714164
2;Sphynx_and_Devon_Rex;Female;4,225506294;unknown;unknown;5;5;5;2;1;5;4;5;2;1;1;;;1;1;5;2;1;4;1;1;1;1;2;2;1;;1;1;5;2;5;1;5;1;2;3;4;5;2;1;4;1;1;4;1;2;1;1;5;4;4;1;1;3;3;4;1;3;5;2;1;5;1;2;;1;1;5;4;4;;;1;5;5;1;;4;1;1;1;1;4;4;1;1;5;4;;4;1;4;4;4;4;1;1;4;1;1;4;;4;1;1;4;2;1;1;4;4;3;1;4;5;2;1;4;5;1;3;5;4;;4;;;4;4;4;1;5;1;5;1;;4;0,961022037;1,890785811;-0,585892552;-1,31907745;-1,185782329;-0,758987462;0,986190805
3;Oriental;Female;7,419575633;NO;A_little;5;5;4;4;4;2;4;4;1;1;1;5;2;4;2;5;1;1;4;5;2;1;4;4;5;1;5;2;1;2;1;4;5;4;5;1;1;5;5;2;1;5;;1;5;2;4;1;5;5;4;1;2;1;1;2;4;2;1;5;1;1;5;;1;;1;1;5;;;;1;1;2;4;1;;5;2;1;1;2;4;5;4;1;5;2;;;4;5;1;5;;1;5;;1;1;1;1;4;2;5;5;4;1;2;;;4;1;4;3;;1;1;5;1;;4;2;4;5;1;5;5;4;4;3;;4;5;5;;;-0,48003798;-0,288478537;0,583599898;0,1834663;1,313597761;-0,127346636;-0,009533091
4;Sphynx_and_Devon_Rex;Female;2;YES;No;5;4;4;5;2;1;5;5;2;1;1;4;1;2;2;2;5;5;5;5;5;1;4;5;5;1;5;1;;1;;4;4;5;;;2;;5;4;1;4;1;1;5;2;5;1;5;4;2;1;1;5;1;1;5;;;4;3;1;5;1;;2;1;2;5;5;5;;1;1;1;5;1;;5;1;1;1;1;4;5;1;1;4;1;;5;;5;1;4;2;1;3;2;1;1;1;2;5;2;5;5;5;1;2;5;1;;1;5;5;;1;1;5;1;1;3;1;;5;1;5;5;2;5;5;;4;4;1;;3;-0,876062946;-0,696218261;1,255441754;0,899893583;0,475639017;-0,514913155;-0,259346702
5;House_cat;Female;3,535049288;YES;A_little;5;1;4;1;5;1;5;;1;5;1;;1;1;1;2;5;1;5;3;1;1;4;;5;1;;3;1;1;1;5;4;5;;1;1;5;5;1;1;4;5;1;5;;5;1;4;5;1;1;1;4;1;1;3;;1;4;3;1;5;2;1;2;1;1;2;5;4;;1;1;1;4;1;;5;1;1;1;1;4;4;1;1;5;1;;4;3;4;1;5;3;1;1;1;1;4;1;;2;2;5;5;4;3;1;4;1;5;1;5;2;2;1;1;5;1;;5;1;5;2;1;4;5;2;5;4;3;1;2;1;;3;-0,746316221;-0,619939655;-0,578863964;-0,337497461;-0,333069701;3,084435142;-0,113738586
6;European;Female;0,663013699;YES;No;5;1;2;4;1;2;5;2;1;1;1;;2;2;1;5;1;2;4;5;3;2;;4;5;1;;1;;1;;4;5;5;4;;1;2;2;2;1;2;1;1;4;1;5;1;5;4;4;1;1;1;;;4;;1;4;2;1;5;1;;2;1;1;1;5;5;;1;1;1;4;1;;4;1;1;1;2;2;5;1;1;5;1;;5;;4;1;1;4;1;4;1;1;1;1;1;5;2;2;2;5;1;1;5;1;;1;4;4;;1;1;5;1;1;2;2;;4;1;4;5;4;2;2;;5;5;1;;4;0,37926201;-0,812641749;0,343482629;0,722727086;-0,502684074;-1,142006926;-0,659039585
7;Bengal;Female;13,2061009;NO;A_lot;2;2;5;5;4;4;2;1;5;2;2;1;5;5;5;5;4;4;5;4;1;2;5;4;2;1;1;1;;2;;4;2;4;4;;4;5;2;5;2;4;2;1;5;1;2;1;4;2;2;2;2;2;4;4;5;2;1;4;4;2;1;1;;1;2;4;4;4;4;;1;4;2;5;4;;5;4;5;5;5;2;4;1;2;2;5;;4;;2;1;1;;4;2;2;2;1;1;;4;5;1;1;4;5;1;5;1;;1;2;2;;1;1;5;1;1;5;5;5;4;1;1;2;4;5;1;1;5;5;1;;1;2,831126961;1,454685838;-1,134144668;0,955988092;-1,917537816;3,564773284;2,186919563
8;Siamese_and_Balinese;Female;0,349726776;NO;No;5;4;5;5;4;1;5;5;2;1;1;5;5;2;4;1;1;4;5;5;5;1;5;5;5;1;;2;;1;;5;5;5;5;;1;4;5;2;1;5;4;4;5;2;5;1;4;5;5;1;1;1;1;1;4;;1;4;4;1;5;1;;4;1;1;5;5;5;4;1;4;1;5;1;5;5;1;1;1;1;4;5;1;1;5;1;;5;;5;1;5;4;1;2;1;1;1;1;;5;1;5;5;5;4;2;5;1;;1;5;5;;1;1;5;1;4;1;1;;5;1;5;4;1;5;5;;2;1;1;5;5;-1,008218715;-0,673436423;1,421479518;0,34164396;0,850675393;0,910663132;-0,338755237
9;Bengal;Female;2,077554745;YES;A_little;5;4;3;4;1;4;5;4;2;1;3;;5;1;1;4;1;1;5;3;2;1;4;4;3;1;;2;;1;;4;5;5;;;1;4;5;1;1;2;1;1;5;2;4;1;3;4;3;1;1;1;5;4;3;1;1;4;4;1;5;1;;4;1;1;1;5;4;;;4;1;;4;;5;4;1;4;1;5;5;1;4;5;3;;4;;4;1;2;5;2;2;4;1;1;1;;5;3;5;4;5;5;1;5;1;;1;5;5;;1;1;4;5;4;3;4;5;3;2;5;4;2;5;2;;1;5;1;;4;-0,953591656;1,042432522;1,12055552;0,653829701;-0,984239084;1,912938831;-0,333296569
10;Siamese_and_Balinese;Female;3,178644764;YES;No;5;2;3;5;4;4;5;4;2;1;1;4;4;2;4;1;3;1;1;5;4;1;3;4;5;1;4;4;;1;;4;5;4;1;;1;4;5;2;1;5;1;1;5;1;4;1;4;5;3;1;1;1;4;4;3;1;1;5;4;1;4;1;;4;1;1;4;5;5;4;1;1;1;5;1;;5;1;1;1;1;1;4;1;1;5;1;1;4;;5;1;5;4;1;4;2;1;1;1;1;4;1;4;5;2;4;1;5;1;;1;2;4;;1;1;5;1;1;1;4;1;4;1;4;4;1;4;4;4;4;1;1;4;4;-0,816127014;-0,855875337;-0,276732366;0,507462619;0,366095317;-0,236425875;-0,610978147
